id,title,view,likes,dislikes,rating,guestid
6540Nct67uw,Joe Rogan Experience #1571 - Emily Harrington,945406,13790,929,4.7475371,-1
bvzs-VbEzds,Joe Rogan Experience #1570 - Willie D & Mike Judge,1208307,17856,1324,4.7238789,-1
CHXIQhvI8cw,Joe Rogan Experience #1569 - John Mackey,1466285,19738,4726,4.2272725,-1
2Wk6SL4ofG0,Joe Rogan Experience #1568 - Tom Green,2238946,32610,1790,4.7918606,-1
C7t_LxpzYTg,Joe Rogan Experience #1567 - Donnell Rawlings & Dave Chappelle,6889014,139448,8667,4.7659388,114
Sc5oa6MqPDg,Joe Rogan Experience #1566 - Nicholas Christakis,1182634,15809,7634,3.6974363,49
GmHwG2p_esE,Joe Rogan Experience #1565 - Gary Laderman,1439403,17214,1539,4.6717324,-1
J68gMp9nVE0,Joe Rogan Experience #1564 - Adam Alter,1019074,11801,1062,4.6697502,148
th17n7kjBYg,Joe Rogan Experience #1563 - Tony Hinchcliffe,2202174,23120,2786,4.5698295,-1
5PrLGhJnO7I,Joe Rogan Experience #1562 - Dave Smith,2180411,35075,4290,4.5640798,-1
C8M1ZRYt-2Q,Joe Rogan Experience #1561 - Kermit Pattison,1020022,12509,1421,4.59196,12
jH4dl2coorM,Joe Rogan Experience #1560 - Mike Baker,3153667,37685,7830,4.3118753,103
surnFz_pZE4,Joe Rogan Experience #1559 - Steven Rinella,2379142,30020,2108,4.7375498,-1
KkjxSKrcbOg,JRE End Of The World #2,9944943,186574,12665,4.7457323,17
3sFl7J3xskY,JRE MMA Show #98 with Luke Thomas,1810466,27322,2218,4.6996613,18
OaTKaHKCAFg,Joe Rogan Experience #1558 - Tristan Harris,6034120,61286,4733,4.7132339,-1
4ugp6FBq6E0,Joe Rogan Experience #1557 - Gad Saad,2117582,36433,2899,4.7051764,-1
t0rcLsoIKgA,Joe Rogan Experience #1556 - Glenn Greenwald,1784918,42479,2678,4.7627831,-1
jdVso9FSkmE,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon,14941154,393873,19169,4.8143625,28
qxOeWuAHOiw,Joe Rogan Experience #1554 - Kanye West,11620731,315608,27660,4.6776862,-1
cz0ka4DuxPw,Joe Rogan Experience #1553 - Maynard James Keenan,1672883,26329,2227,4.6880517,146
BBCl9A9NlRw,Joe Rogan Experience #1552 - Matthew McConaughey,4394684,100866,3143,4.8791261,42
s8tJ-R28HX8,Joe Rogan Experience #1551 - Paul Saladino,2232505,28937,3509,4.5674043,-1
a_7s1EKhSwo,Joe Rogan Experience #1550 - Wesley Hunt,2223254,38425,3998,4.6230345,44
-D2bNqpLbtE,Joe Rogan Experience #1549 - Tom Papa,1653212,18538,4621,4.2018652,-1
wC5TVZ3p_H4,Joe Rogan Experience #1548 - Roy Jones Jr.,2834936,49139,1797,4.858882,-1
ckjwkCbGIu8,Joe Rogan Experience #1547 - Colin Quinn,2017460,25505,2663,4.6218405,-1
A9PfeA9qFp8,Joe Rogan Experience #1546 - Evan Hafer & Mat Best,2131535,35225,2124,4.7725239,10
